ID	Pts	Localisation
Home	50	41.906658192379666, 12.50143915766876
ROM_01	50	41.8868358,12.5251806
ROM_03	50	41.8929759,12.5157068
ROM_04	50	41.88854545,12.52874245
ROM_05	50	41.8998265,12.51705828
ROM_06	50	41.918392,12.4790533
ROM_07	50	41.86334754,12.48041506
ROM_09	50	41.888757,12.47055392
ROM_10	50	41.87535495,12.4742397
ROM_11	50	41.87554,12.54137882
ROM_12	30	41.8928812,12.5416602
ROM_13	30	41.88925542,12.52989933
ROM_14	20	41.88883611,12.51881613
ROM_15	30	41.88902887,12.52566559
ROM_16	20	41.91129857,12.49857476
ROM_17	20	41.93565464,12.50632918
ROM_19	20	41.9363506,12.46667506
ROM_20	30	41.90752443,12.45537829
ROM_21	20	41.89129432,12.47052934
ROM_22	20	41.88390936,12.47415562
ROM_23	50	41.87468124,12.52271536
ROM_24	20	41.91863495,12.50124505
ROM_25	30	41.8944226,12.4921029
ROM_26	50	41.88371581,12.47454914
ROM_27	30	41.88539305,12.48527066
ROM_28	20	41.89716181,12.51327601
ROM_29	30	41.89424943,12.50631894
ROM_30	20	41.89545539,12.49336119
ROM_31	30	41.8948595,12.4910821
ROM_32	20	41.89649702,12.51513618
ROM_33	30	41.8963236,12.5141464
ROM_34	20	41.89641328,12.48655847
ROM_35	10	41.8985068,12.48455324
ROM_37	30	41.9073545,12.4759696
ROM_38	20	41.90475039,12.47695694
ROM_39	10	41.88535713,12.50923977
ROM_40	20	41.89366787,12.47874109
ROM_41	50	41.89441975,12.4691352
ROM_42	30	41.88783118,12.49442329
ROM_43	20	41.89735513,12.48497742
ROM_44	20	41.89997622,12.47977882
ROM_46	10	41.90005074,12.47087219
ROM_47	10	41.8993956,12.4704421
ROM_49	20	41.9035004,12.4833433
ROM_50	20	41.9062582,12.4830485
ROM_51	30	41.87063758,12.47942037
ROM_52	30	41.862693,12.4855537
ROM_53	20	41.87870456,12.47898921
ROM_55	20	41.89347824,12.47688193
ROM_56	50	41.88974258733448, 12.523768568648917
ROM_57	30	41.8901019,12.4943457
ROM_58	30	41.89526328,12.47253642
ROM_59	30	41.8958134,12.47670727
ROM_60	20	41.88969098,12.47109886
ROM_61	20	41.889545,12.473174
ROM_62	20	41.8794955,12.53691112
ROM_63	20	41.88938431,12.51955703
ROM_64	50	41.89953206,12.5012803
ROM_65	20	41.87325486,12.50166805
ROM_66	30	41.883822466062824, 12.531461069545676
ROM_67	20	41.90097148,12.48295787
ROM_68	50	41.90801003,12.50466673
ROM_69	20	41.87395366,12.50625287
